city_name,roads_length,walk_network_length,footways_length,sidewalks_length,no_sidewalks_length,footways_coverage,sidewalks_coverage,no_sidewalks_coverage,walk_network_coverage
"Halifax, Canada",799789.0677923453,1551937.4034690983,271267.4808978897,4906.03555331658,0.0,0.08739639894351289,0.0015806164418583999,0.0,1.9404333792069766
"Baltimore, United States",3223202.456052907,6126575.217433285,1016322.0596740369,87939.97922554074,10087.688177630842,0.08294373476245533,0.007176928063766024,0.0008232730211918508,1.9007726945380317
"Bucharest, Romania",3517350.9436414186,6099071.943398321,988354.4919780069,199531.55040296164,8573.835551345774,0.08102499045349094,0.016357533757159235,0.0007028803423630831,1.733995851174326
Plano Piloto,1062658.3744917861,2403816.766267875,371571.38108911505,9304.583020299397,270.45009638475966,0.07728779212776904,0.0019353769286553262,5.625430777002522e-05,2.2620785983242215
"Buffalo, United States",1649892.648727781,2245757.394341985,325981.5283475616,67037.1622151584,3835.8250362206336,0.07257719136734164,0.014925290323891047,0.0008540158981296694,1.3611536460106486
"Portland, United States",5327002.501376736,8516445.750233363,1235497.1266889465,3561252.0040397253,1550743.8358481154,0.07253595942034223,0.20908088353302443,0.0910440740966161,1.5987313217953874
"Cleveland, United States",2948518.4006842957,4101343.2678413014,591062.802296723,7101.126030723342,796.821182971841,0.072057221707246,0.0008657073508578745,9.714148888971679e-05,1.3909844574446124
"Chicago, United States",9373552.43386031,18739074.069539905,2654270.3037295467,62200.61757802368,10843.830175822875,0.07082181045551297,0.0016596502406468923,0.00028933740630892127,1.9991432492390286
"Louisville, United States",6561817.744801713,10313714.481579399,1416282.2185027045,107434.59503101367,3984.259100916732,0.06866014281431906,0.005208336687179728,0.0001931534515538867,1.5717770414684173
"Charlotte, United States",7227240.737387782,11788425.98724025,1512718.397059998,175907.59655827796,123225.96572687986,0.06416116955297337,0.007461029858807262,0.005226565695041018,1.6311101865275717
Auckland,11631509.556827936,19562552.03598178,2505974.5308833234,153201.92924108784,44534.449047668226,0.06405029687011275,0.003915693846061101,0.0011382576507849066,1.6818583985513866
"Dallas, United States",9985329.659343222,16740391.172003677,2095055.5618972299,18025.488625684182,74054.87665759603,0.06257486878206772,0.0005383831369433493,0.0022118621929648826,1.6764985977543343
"Edmonton, Canada",9115326.41920883,14092752.544934034,1621552.0569772308,163368.48678065336,50541.21910808855,0.05753141736530864,0.005796188014362742,0.001793163505388334,1.5460502341678317
"Hobart, Australia",37603.428595605496,61806.00294055442,7060.303388069485,1645.5916307030113,0.0,0.057116647673043586,0.013312555030340309,0.0,1.6436267981100356
"Quebec, Canada",4074473.5333183333,5545613.7546048425,573857.3353096531,55940.780068032895,12924.705444442787,0.051739749710583996,0.005043696022066272,0.001165308838332877,1.3610626524522746
"Shenzhen, China",12801754.97780194,14742946.538603636,1507068.5631429222,33423.1140129547,244.52786327769235,0.05111151150133869,0.0011335289701226963,8.293045852042158e-06,1.1516348003978902
"Riverside, United States",2098775.324284297,3552086.529608735,331665.463332611,18410.75525097563,4553.220117760639,0.04668600561500739,0.0025915409291850204,0.0006409219031978621,1.692456781108779
"Adelaide, Australia",11989612.369096255,16244752.728416761,1341217.420660105,233560.24633207757,72839.58365855413,0.041281558515628515,0.00718879044319072,0.0022419419019883468,1.354902246071634
"Virginia Beach, United States",4411647.055276934,6902175.62861616,565919.1189383043,29183.645317043276,11655.493905244035,0.04099570551291284,0.0021140903163959623,0.0008443347816970056,1.5645348646737758
"Phoenix, United States",11586363.5173759,20512243.507123675,1627940.2008514265,170142.9156885707,17988.678805052572,0.03968215861629326,0.004147350230838522,0.0004384863800686966,1.7703780376268847
"Darwin, Australia",2345081.670460137,3713369.5859070276,276281.0579901489,2722.382457288327,566.407955351986,0.03720085647260781,0.00036656497479005417,7.626603577268691e-05,1.5834713275373533
"Richmond, United States",2148759.03725929,3426426.3814290045,250691.5602168762,29909.24739765112,9057.427571198594,0.036582073027397764,0.004364495843213966,0.0013217017619711938,1.5946070834444797
"Salvador, Brazil",3455088.9956783815,4641377.3551846,333692.8260077602,82663.59357978983,4054.233287912215,0.03594760784048428,0.008905071410262663,0.00043674894084872005,1.3433452397289984
"Oklahoma City, United States",9402566.630009813,13342844.170195337,939637.183879964,149878.4389288567,62252.88485567746,0.035211277741625906,0.005616435184922889,0.002332819152408871,1.4190640380690833
"Houston, United States",15828268.499071483,24825370.43355911,1714359.6302863325,172380.64767641958,55747.45764459813,0.034528379644415075,0.003471864561654118,0.0011227920605212467,1.5684198454818614
"Natal, Brazil",2185548.012293059,2621186.3371622046,156424.75816027785,10334.029463550902,0.0,0.029838542178887827,0.0019712504443195962,0.0,1.1993268152512822
"Recife, Brazil",2496549.418901889,3211742.282139316,176840.14363603183,8355.522446436717,,0.02753025120032981,0.0013007772281266555,,1.286472543993143
"Fortaleza, Brazil",4921786.715373907,5578773.512580276,300522.3650782436,19211.295730090373,0.0,0.026934447544837415,0.0017218207269723725,0.0,1.1334854261673257
"New Orleans, United States",3583439.4806391806,4327635.466629021,226202.35627408596,23963.858392804603,0.0,0.02613463610999156,0.0027687011276242117,0.0,1.207676448844923
"Curitiba, Brazil",5774304.886271948,7345244.4746516235,367448.8734180827,130394.50272826702,14114.80145480318,0.025012705478091687,0.008876117274125956,0.0009608122305195723,1.272056917554611
"Las Vegas, United States",4933970.14126612,7153310.175510751,356397.1891173728,3354.0416699415746,,0.024911347360379615,0.00023443983188538962,,1.4498081607107416
"Rio de Janeiro, Brazil",10766428.481400898,13722574.959166385,678882.4000978754,155300.85588797735,12095.430677135217,0.024735969820459846,0.005658590182604166,0.0004407128659572644,1.2745707625209473
"Beijing, China",52402849.51427754,61732524.774969414,2951867.6742041777,128173.58712747431,1658.4642420610353,0.023908528648103073,0.0010381366029876414,1.3432661697432227e-05,1.1780375561094236
"Guangzhou, China",25194387.116917983,26190553.68995563,1241358.0846475724,204370.75031580793,1792.0141336513034,0.023698584217477753,0.0039016118699733027,3.4211077682152264e-05,1.039539226273487
"San Antonio, United States",10729656.16722759,16485091.331135122,721563.0354641506,336569.0186007453,23095.455455482865,0.02188532113562957,0.010208284923634996,0.000700495222973465,1.536404435911637
"Wellington, New Zealand",6477207.034917487,16726293.66119228,684080.1884434666,197144.50778892564,19896.43704975568,0.02044924602844454,0.005893251421453066,0.0005947652675714599,2.5823311762344114
"Porto Alegre, Brazil",3744710.543505436,5019840.7754088,195991.9884472775,455190.3439775879,235342.47030827875,0.019521733578423763,0.04533912173145757,0.023441228600434363,1.3405150323607418
"Shanghai, China",33741531.83893527,38788708.704067916,1451845.7757222452,53982.15364320354,254.8380235044424,0.018714799025650278,0.0006958488107331895,3.284951111013868e-06,1.1495835129603857
"Sao Paulo, Brazil",18780511.161997613,21527611.590130582,760972.8154672586,771779.2364063133,15753.980471194145,0.01767434376733482,0.017925333546061805,0.00036590172591223773,1.146273996721225
"Birmingham, United States",3269512.343746568,4661005.435993389,162331.5446215313,3235.3877288092795,6958.283779474875,0.01741379052767978,0.00034706972274960765,0.0007464359219302082,1.4255965250928813
"Belem, Brazil",2355388.224705605,2771335.230320782,95349.51352212185,42332.74106646659,1524.7315124273073,0.017202811207918205,0.007637607425350446,0.00027508969246041367,1.1765938206077113
"Xiamen, China",6711198.6094980985,7157253.917322306,222222.2637434335,17030.852231413046,0.0,0.015524268547019215,0.0011897616340112104,0.0,1.066464328323248
"Belo Horizonte, Brazil",5316201.910296685,6052689.097323839,179235.66021845903,32828.46656905706,2040.9615273950662,0.014806283400357292,0.0027118910323323873,0.00016859956744659705,1.1385363459579458
"Guarulhos, Brazil",2701892.9616272897,3236111.738673212,91731.65960427267,4408.0510096694225,0.0,0.014173129207504149,0.0006810721269279625,0.0,1.1977201853045187
"Maceio, Brazil",2317266.7872921564,3027754.2926603584,82464.1615272031,8037.633315886561,0.0,0.013618040560144887,0.001327325888922155,0.0,1.306605829447218
"Campo Grande, Brazil",7380582.765233291,8357463.521920627,193083.36639141446,2559.6663431536003,7670.483223243697,0.011551553045070426,0.00015313655491525042,0.000458900191614653,1.1323582144880204
"Nairobi, Kenya",5304666.102667559,7462760.927545182,138543.9330024515,4661.745455835134,223.43704824577188,0.009282351019117027,0.0003123338333557323,1.4970133065703725e-05,1.4068295314180814
"Duque de Caxias, Brazil",2635323.1092661773,3071387.4504557145,55466.61264171986,2653.752333979331,0.0,0.00902956945947833,0.0004320119777766206,0.0,1.165469023383232
"Goiania, Brazil",6749279.085249708,7634736.567022504,137009.77208013408,4014.3586912957276,0.0,0.008972789753606847,0.0002629009302452789,0.0,1.131192897876742
"Sao Luis, Brazil",3329637.8361650323,4009301.858308399,71562.93276062654,3890.925759591061,0.0,0.00892461272432357,0.00048523731775495653,0.0,1.204125510216505
"Campinas, Brazil",5970365.914076646,6648365.853765739,113464.19881759422,12806.876940124648,0.0,0.008533239694783517,0.0009631597614976793,0.0,1.1135608687049712
"Kunming, China",18651568.701825008,19184628.318818823,266068.0627931411,44992.44627916962,2240.0425307679025,0.006934407546800017,0.0011726170956107363,5.838118136931984e-05,1.028579881162578
"Manaus, Brazil",5318696.137186615,6484083.391124896,71925.90905376346,1177.499306571664,0.0,0.0055463436167563955,9.079921058567575e-05,0.0,1.219111455867965
"Sao Goncalo, Brazil",2433496.5487889205,2679999.3121912163,20281.91943386483,1202.550242873664,0.0,0.003783941164015069,0.00022435644617580834,0.0,1.1012957111136947
Communaute urbaine de Douala,3328250.2897774978,3556722.581027662,2247.6493138101173,0.0,0.0,0.0003159719745643885,0.0,0.0,1.0686463671172513
"Xian, China",2964513.0599012417,2923542.868996244,1278.1602052683795,0.0,0.0,0.0002185978216401556,0.0,0.0,0.9861797907186948
"London, England",25457827.700800776,,11943821.19230008,5761117.944203896,144650.3162650584,,,,
"San Jose, United States",5057572.269258576,,11948877.232387003,149795.82732665903,119745.0859050831,,,,
