city,kerb_length,city_area
Denver,52287.8946375332,1672310369.4050379
Montreal,1634.1441540673281,445151416.71708626
Boston,391.611337607545,310592707.570567
New York,264467.1393491879,2925344193.920093
Buenos Aires,3065.6213813043596,385483890.4755973
Barcelona,12111.6373004777,343661686.6070919
Paris,124968.82538715875,340138207.5847584
